[0.583, 0.613, 0.575, 0.617, 0.616, 0.616, 0.619, 0.619, 0.619, 0.617, 0.598, 0.001]
[3.213, 3.358, 3.957, 3.241, 3.365, 3.387, 3.288, 3.263, 3.135, 3.245, 3.355, 6.067]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[69.708, 66.193, 53.777, 68.063, 66.193, 65.819, 66.866, 67.016, 69.933, 68.362, 64.622, 27.076]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.59, 0.613, 0.616, 0.604, 0.617, 0.614, 0.599, 0.619, 0.618, 0.617, 0.594, -0.0]
[3.144, 3.246, 3.284, 3.622, 3.337, 3.088, 3.679, 3.223, 3.284, 3.303, 3.408, 6.069]
[5.604, 5.445, 5.426, 5.508, 5.421, 5.438, 5.546, 5.402, 5.408, 5.419, 5.576, 8.755]
[71.129, 68.362, 67.988, 60.808, 66.268, 71.429, 59.088, 67.838, 66.941, 67.315, 64.398, 27.15]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
